0102201713:04:46.079   36      16.168.0
0102201713:05:46.085   0102201713:05:01.397			21      16.267.9
0102201713:06:46.097   0102201713:06:01.641			21      16.367.3
0102201713:07:46.084   0102201713:07:01.856			22      16.267.5
0102201713:08:46.093   0102201713:08:02.094			22      16.168.0
0102201713:09:46.093   0102201713:09:01.328			22      16.068.4
0102201713:10:46.087   0102201713:10:01.558			21      16.168.2
0102201713:11:46.096   0102201713:11:01.751			22      16.068.3
0102201713:12:46.093   0102201713:12:01.975			23      16.068.6
0102201713:13:46.087   0102201713:13:01.371			22      15.968.6
0102201713:14:46.087   0102201713:14:01.593			21      15.968.9
0102201713:15:46.097   0102201713:15:01.808			21      15.968.8
0302201711:11:01.730   			38      			35			33
0302201711:17:02.077			27
0302201711:18:01.291			26
0302201711:19:01.514			26
0302201711:20:01.750			26
0302201711:21:01.963			26
0302201711:22:02.201			26
0302201711:23:01.424			26
0302201711:24:01.641			26
